symbol,timestamp,open,high,low,close
GMXUSDT.6,2024-02-14 00:00:00+00:00,0.025782,0.028231,0.022112,0.028231
GMXUSDT_PERP.3,2024-02-14 00:00:00+00:00,0.01189909566873,0.12740328932129,-0.00870739710026,0.05393067523457
pf_gmxusd.K,2024-02-14 00:00:00+00:00,0.0016242972222222,0.0055587279166667,0.0011849238888889,0.0047635240277778
pf_gmxusd.K,2024-01-07 00:00:00+00:00,-0.0001601101388889,0.0011345169444444,-0.0030141961111111,-0.0030141961111111
GMXUSDT_PERP.A,2024-01-07 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-01-07 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.3,2024-01-07 00:00:00+00:00,0.01132260529396,0.02058404079799,0.00425856065605,0.00425856065605
pf_gmxusd.K,2024-06-19 00:00:00+00:00,-0.0024821480555556,-0.002313075,-0.00469975125,-0.0031766543055556
GMXUSDT.6,2024-06-19 00:00:00+00:00,0.01,0.01,-0.002582,0.01
GMXUSDT_PERP.A,2024-06-19 00:00:00+00:00,0.01,0.01,-0.007173,0.001311
GMXUSDT_PERP.3,2024-06-19 00:00:00+00:00,-0.00263723979214,0.02025241911419,-0.02372991751022,0.00700819622719
GMXUSDT.6,2024-02-28 00:00:00+00:00,0.038703,0.075686,0.038703,0.075686
GMXUSDT_PERP.3,2024-02-28 00:00:00+00:00,0.06735950731332,0.0916679379373699,-0.0035785468131799,0.04381257583018
pf_gmxusd.K,2024-02-28 00:00:00+00:00,0.00411158,0.0144081588888889,0.00411158,0.0068193502777778
GMXUSDT_PERP.A,2024-02-28 00:00:00+00:00,0.04015,0.079153,0.04015,0.079153
GMXUSDT.6,2024-12-07 00:00:00+00:00,0.043641,0.050933,0.038543,0.038543
GMXUSDT_PERP.A,2024-12-07 00:00:00+00:00,0.044888,0.05389,0.034841,0.034841
pf_gmxusd.K,2024-12-07 00:00:00+00:00,0.0066941906944444,0.0118941369444444,0.0065691456944444,0.0093467626388889
GMXUSDT_PERP.3,2024-12-07 00:00:00+00:00,0.05453083974953,0.06509346427371,0.04400095828379,0.04775451959322
GMXUSDT.6,2024-02-13 00:00:00+00:00,0.01,0.016816,0.01,0.011446
GMXUSDT_PERP.A,2024-02-13 00:00:00+00:00,0.01,0.016009,0.01,0.014688
GMXUSDT_PERP.3,2024-02-13 00:00:00+00:00,-0.01142074006396,0.06354982951748,-0.02934961905269,0.02442249587897
pf_gmxusd.K,2024-02-13 00:00:00+00:00,0.0006970397222222,0.0034958052777778,-0.0005426631944444,0.0009823486111111
GMXUSDT.6,2024-06-05 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.3,2024-06-05 00:00:00+00:00,0.03468666787527,0.04108515228537,0.0175560287196,0.01761006286896
pf_gmxusd.K,2024-06-05 00:00:00+00:00,0.0036107343055556,0.0047171415277778,0.0026180644444444,0.0034705184722222
GMXUSDT_PERP.A,2024-06-05 00:00:00+00:00,0.022813,0.025918,0.014927,0.025918
GMXUSDT_PERP.A,2024-03-21 00:00:00+00:00,0.013065,0.027416,0.01,0.01
GMXUSDT.6,2024-03-21 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-03-21 00:00:00+00:00,0.0042052479166667,0.007089015,0.0011771681944444,0.0068109845833333
GMXUSDT_PERP.3,2024-03-21 00:00:00+00:00,0.03091176637127,0.0311270019597399,0.0038334303883999,0.01787663469167
pf_gmxusd.K,2024-06-15 00:00:00+00:00,-0.0033610530555556,-0.0031150693055556,-0.0051680581944444,-0.0047790484722222
GMXUSDT_PERP.A,2024-06-15 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-06-15 00:00:00+00:00,0.01,0.01,0.008748,0.008748
GMXUSDT_PERP.3,2024-06-15 00:00:00+00:00,-0.00186493296285,0.01066402424728,-0.01847030552459,-0.01403822671169
GMXUSDT_PERP.3,2024-10-30 00:00:00+00:00,0.03633993121054,0.0525127726425,0.01187186698763,0.01739214776132
pf_gmxusd.K,2024-10-30 00:00:00+00:00,-0.0007740876388889,0.0019604801388889,-0.00120064,-0.0009984090277778
GMXUSDT_PERP.A,2024-10-30 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-10-30 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.3,2024-06-01 00:00:00+00:00,0.01030458497952,0.03827123109372,0.00463134782607,0.03762626714493
pf_gmxusd.K,2024-06-01 00:00:00+00:00,0.0013098259722222,0.0034904497222222,0.00029644625,0.0025316341666667
GMXUSDT_PERP.A,2024-06-01 00:00:00+00:00,0.023856,0.023856,0.01,0.01
GMXUSDT.6,2024-06-01 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-07-26 00:00:00+00:00,0.002309,0.01,0.00195,0.00195
GMXUSDT.6,2024-07-26 00:00:00+00:00,-0.000603,0.01,-0.003638,0.01
pf_gmxusd.K,2024-07-26 00:00:00+00:00,-0.0002515048611111,0.0012764801388889,-0.0038426697222222,-0.0037953718055556
GMXUSDT_PERP.3,2024-07-26 00:00:00+00:00,-0.00816203262037,0.0299793439435099,-0.0140129276106699,0.02081588307168
GMXUSDT.6,2024-01-18 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-01-18 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.3,2024-01-18 00:00:00+00:00,-0.00158744836555,0.03604130896648,-0.00732212501748,-0.00732212501748
pf_gmxusd.K,2024-01-18 00:00:00+00:00,0.0008518990277778,0.0026202244444444,-0.0035566276388889,-0.0030672005555556
GMXUSDT_PERP.A,2024-07-22 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-07-22 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-07-22 00:00:00+00:00,-0.0001744695833333,0.0014346334722222,-0.0038082273611111,0.0010179368055556
GMXUSDT_PERP.3,2024-07-22 00:00:00+00:00,-0.00177775114534,0.02070167628256,-0.00569517637397,0.00870062666636
pf_gmxusd.K,2024-05-09 00:00:00+00:00,0.0026544536111111,0.0035004655913978,-0.0003083144444444,0.00191370875
