t_opn,state,l,collateral,pnl,close,t_hours,cost_rate,pool,position_id,perp_share,perp_t_max,ret,liq,t_max,lp_cls,x
2025-02-05 15:43:00,highvol,20.0,41.06962609089763,-10.544534192377728,t_max,12.0,0.9856710261815431,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,923076_0xfedc3190b0be8d0b65feec68ed43b0e902413ce6,0.05,12,-0.2567477524397219,0,1,0,1
2025-02-06 03:51:00,highvol,20.0,40.69297237595575,28.09122568235058,t_max,12.0,0.9766313370229379,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,923076_0xfedc3190b0be8d0b65feec68ed43b0e902413ce6,0.05,12,0.6903213022342118,0,1,0,1
2025-02-01 18:20:00,highvol,20.0,2447.0744710415834,2063.356652406121,t_max,12.0,58.72978730499801,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,920280_0xff8d044c63d7da1a23e11765764d37def8f6670f,0.05,12,0.8431932402645127,0,1,0,1
2025-02-11 15:01:00,highvol,20.0,12395.782042304341,6387.37604207294,t_max,12.0,297.49876901530416,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,926972_0xff8d044c63d7da1a23e11765764d37def8f6670f,0.05,12,0.5152862498125649,0,1,0,1
2025-02-04 14:42:00,highvol,20.0,1426.0952058924624,1088.218787107003,t_max,12.0,34.2262849414191,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,922304_0xff8d044c63d7da1a23e11765764d37def8f6670f,0.05,12,0.7630758329532329,0,1,0,1
2025-02-05 06:02:00,highvol,20.0,2765.6426789010256,437.33669967312835,t_max,12.0,66.37542429362462,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,922784_0xff8d044c63d7da1a23e11765764d37def8f6670f,0.05,12,0.1581320331109843,0,1,0,1
2025-01-05 05:16:00,lowvol,30.0,12.295599133306894,-0.2529259809967841,t_max,12.0,0.44264156879904826,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,900190_0xd37eac34829a473bbe3c28ee30da7633c04bb59c,0.05,12,-0.02057044786956712,0,1,0,1
2025-01-05 17:17:00,lowvol,30.0,12.273232614982792,-4.256524896907023,t_max,12.0,0.4418363741393806,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,900190_0xd37eac34829a473bbe3c28ee30da7633c04bb59c,0.05,12,-0.346813674150589,0,1,0,1
2025-01-06 07:19:00,lowvol,30.0,12.082896358801705,-4.996380333745748,t_max,12.0,0.4349842689168614,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,900190_0xd37eac34829a473bbe3c28ee30da7633c04bb59c,0.05,12,-0.4135084987388945,0,1,0,1
2025-01-07 11:34:00,highvol,20.0,11.83125146470672,16.838433810107713,t_max,12.0,0.28395003515296124,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,900190_0xd37eac34829a473bbe3c28ee30da7633c04bb59c,0.05,12,1.4232166276186164,0,1,0,1
2025-02-16 14:08:00,midvol,25.0,1.0345107183131323,0.15356865576102247,,10.0,0.025862767957828308,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,930113_0xd50a9d2bf47db6d62325ef004431e76e68755e1f,0.05,12,0.1484456884230554,0,0,1,1
2025-01-17 20:47:00,highvol,20.0,38375.34444824824,49384.711862304786,t_max,12.0,921.0082667579578,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,910668_0xd603d7820ef3f8b56b4a6ec97d61c32828948bc9,0.05,12,1.2868864780849962,0,1,0,1
2025-01-11 10:54:00,lowvol,30.0,8.99960902946958,-3.270921445212268,t_max,12.0,0.3239859250609049,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,905777_0x7adcfe9cdd8ff7520a6456309b6b3711f6d0e596,0.05,12,-0.36345150489332423,0,1,0,1
2025-01-11 23:04:00,lowvol,30.0,8.889704675879477,3.237682383435449,t_max,12.0,0.3200293683316612,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,905777_0x7adcfe9cdd8ff7520a6456309b6b3711f6d0e596,0.05,12,0.3642058427677901,0,1,0,1
2025-01-12 11:05:00,lowvol,30.0,8.993706526232392,-0.4170133004422564,t_max,12.0,0.32377343494436617,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,905777_0x7adcfe9cdd8ff7520a6456309b6b3711f6d0e596,0.05,12,-0.046367234601877756,0,1,0,1
2025-01-12 23:06:00,highvol,20.0,8.975354980554972,6.579099855662732,t_max,12.0,0.21540851953331933,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,905777_0x7adcfe9cdd8ff7520a6456309b6b3711f6d0e596,0.05,12,0.7330183452260434,0,1,0,1
2025-01-14 09:25:00,highvol,20.0,9.285282539388017,-0.5626410862921498,t_max,12.0,0.22284678094531246,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,905777_0x7adcfe9cdd8ff7520a6456309b6b3711f6d0e596,0.05,12,-0.06059493439272693,0,1,0,1
2025-01-14 21:26:00,midvol,25.0,9.277601219888549,1.0186094620270019,,0.0,0.0,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,905777_0x7adcfe9cdd8ff7520a6456309b6b3711f6d0e596,0.05,12,0.10979233078518096,0,0,1,1
2025-01-23 12:01:00,highvol,20.0,259.36189346142754,-223.8893358521249,t_max,12.0,6.224685443074262,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,913909_0x7adedaee6e7bcb60e45e44631240c6e76bfaa0c7,0.05,12,-0.8632314210237745,0,1,0,1
2025-01-24 00:05:00,highvol,20.0,254.02512516736263,-101.23635768310074,t_max,12.0,6.096603004016703,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,913909_0x7adedaee6e7bcb60e45e44631240c6e76bfaa0c7,0.05,12,-0.3985289156590392,0,1,0,1
2025-01-24 20:32:00,highvol,20.0,248.9077399153729,68.76244456765946,t_max,12.0,5.973785757968949,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,913909_0x7adedaee6e7bcb60e45e44631240c6e76bfaa0c7,0.05,12,0.2762567551777951,0,1,0,1
2025-01-25 08:33:00,midvol,25.0,250.55782739355675,-123.42717394062875,t_max,12.0,7.516734821806704,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,913909_0x7adedaee6e7bcb60e45e44631240c6e76bfaa0c7,0.05,12,-0.49260953139874947,0,1,0,1
2025-01-25 20:55:00,lowvol,30.0,246.17824852781038,10.993996272577492,t_max,12.0,8.862416947001174,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,913909_0x7adedaee6e7bcb60e45e44631240c6e76bfaa0c7,0.05,12,0.0446586826347313,0,1,0,1
2025-01-26 08:56:00,midvol,25.0,246.43557406007085,-6.356858605344492,t_max,12.0,7.393067221802125,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,913909_0x7adedaee6e7bcb60e45e44631240c6e76bfaa0c7,0.05,12,-0.025795214954619138,0,1,0,1
2025-01-26 20:57:00,highvol,20.0,246.05396937013367,391.7656013011034,t_max,12.0,5.9052952648832076,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,913909_0x7adedaee6e7bcb60e45e44631240c6e76bfaa0c7,0.05,12,1.592193787013364,0,1,0,1
